internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
166912,Parazacco spilurus,"Zacco  spilurus (Günther, 1868)",Zacco ,spilurus,"(Günther, 1868)",,
166912,Parazacco spilurus,"Aspius  spilurus  Günther, 1868 ssp. fasciatus Koller, 1927",Aspius ,spilurus ,"Günther, 1868",subspecies,"Koller, 1927"
166915,Onychostoma lepturum,"Varicorhinus argentatus Nguyen & Doan, 1969",Varicorhinus,argentatus,"Nguyen & Doan, 1969",,
166915,Onychostoma lepturum,"Varicorhinus erythrogenys Nguyen & Doan, 1969",Varicorhinus,erythrogenys,"Nguyen & Doan, 1969",,
166915,Onychostoma lepturum,"Gymnostomus lepturus Boulenger, 1900",Gymnostomus,lepturus,"Boulenger, 1900",,
166915,Onychostoma lepturum,"Barbus roulei Wu, 1931",Barbus,roulei,"Wu, 1931",,
166915,Onychostoma lepturum,"Onychostoma lepturus (Boulenger, 1900)",Onychostoma,lepturus,"(Boulenger, 1900)",,
166916,Saurogobio immaculatus,"Saurogobio  dabryi  Bleeker, 1871 ssp. immaculatus Koller, 1927",Saurogobio ,dabryi ,"Bleeker, 1871",subspecies,"Koller, 1927"
166916,Saurogobio immaculatus,"Saurogobio  dabryi  Bleeker, 1871 ssp. vietnamensis  Mai, 1978",Saurogobio ,dabryi ,"Bleeker, 1871",subspecies,"Mai, 1978"
166969,Cynoglossus waandersii,"Plagusia waandersii Bleeker, 1854",Plagusia,waandersii,"Bleeker, 1854",,
166972,Poropuntius krempfi,"Barbus krempfi Pellegrin & Chevey, 1934",Barbus,krempfi,"Pellegrin & Chevey, 1934",,
166972,Poropuntius krempfi,"Lissochilus krempf Chevey & Lemasson, 1937",Lissochilus,krempf,"Chevey & Lemasson, 1937",,
166974,Cryptocentrus pavoninoides,"Gobius pavoninoides Bleeker, 1849",Gobius,pavoninoides,"Bleeker, 1849",,
166974,Cryptocentrus pavoninoides,"Cryptocentrus venustus Seale, 1914",Cryptocentrus,venustus,"Seale, 1914",,
166981,Poropuntius kontumensis,"Cyclocheilichthys kontumensis Chevey, 1934",Cyclocheilichthys,kontumensis,"Chevey, 1934",,
166981,Poropuntius kontumensis,"Poropuntius kontumensis Roberts, 1998 ssp. rasorius",Poropuntius,kontumensis,"Roberts, 1998",subspecies,
166988,Neolissochilus benasi,"Crossochilus benasi Pellegrin & Chevey, 1936",Crossochilus,benasi,"Pellegrin & Chevey, 1936",,
166988,Neolissochilus benasi,"Barbodes benasi ((Pellegrin & Chevey, 1936)",Barbodes,benasi,"((Pellegrin & Chevey, 1936)",,
166988,Neolissochilus benasi,"Crossocheilus  benasi  Pellegrin & Chevey, 1936 ssp. vuha Nguyen, Nguyen & Le, 1999",Crossocheilus ,benasi ,"Pellegrin & Chevey, 1936",subspecies,"Nguyen, Nguyen & Le, 1999"
166993,Rasbora sumatrana,"Leuciscus sumatranus Bleeker, 1852",Leuciscus,sumatranus,"Bleeker, 1852",,
166996,Psettodes erumei,"Pleuronectes erumei Bloch & Schneider, 1801",Pleuronectes,erumei,"Bloch & Schneider, 1801",,
167001,Tachysurus virgatus,Pelteobagrus virgatus (Oshima 1926),Pelteobagrus,virgatus,(Oshima 1926),,
167001,Tachysurus virgatus,"Pseudobagrus virgatus (Oshima, 1926)",Pseudobagrus,virgatus,"(Oshima, 1926)",,
167001,Tachysurus virgatus,"Aoria virgatus Oshima, 1926",Aoria,virgatus,"Oshima, 1926",,
167001,Tachysurus virgatus,"Leiocassis virgatus (Oshima, 1926)",Leiocassis,virgatus,"(Oshima, 1926)",,
167004,Garra laichowensis,"Placocheilus laichowensis (Nguyen & Doan, 1969)",Placocheilus,laichowensis,"(Nguyen & Doan, 1969)",,
167010,Oxyurichthys tentacularis,"Gobius tentacularis Valenciennes, 1837",Gobius,tentacularis,"Valenciennes, 1837",,
