assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2491540,197579,Macrobrachium joppae,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,joppae,,,,"Holthuis, 1950",Data Deficient,,3.1,Unknown,Global
2491638,197582,Macrobrachium jiangxiense,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,jiangxiense,,,,"Liang &amp; Yan, 1985",Data Deficient,,3.1,Unknown,Global
2492006,197589,Caridina jiangxiensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,jiangxiensis,,,,"Liang &amp; Zheng, 1985",Data Deficient,,3.1,Unknown,Global
2492299,197594,Macrobrachium guangxiense,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,guangxiense,,,,"Liang &amp; Yan, 1981",Data Deficient,,3.1,Unknown,Global
2492314,197595,Troglocaris jusbaschjani,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Troglocaris,jusbaschjani,,,,"Birstein, 1948",Data Deficient,,3.1,Unknown,Global
2492366,197597,Caridina cucphuongensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,cucphuongensis,,,,"Đăng, 1980",Data Deficient,,3.1,Unknown,Global
2492569,197600,Caridina songtaoensis,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,songtaoensis,,,,"Liang, 2004",Data Deficient,,3.1,Unknown,Global
2492769,197605,Caridina pseudoserrata,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,pseudoserrata,,,,"Đăng &amp; Ðỗ, 2007",Data Deficient,,3.1,Unknown,Global
2492784,197606,Caridina spinalifrons,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,spinalifrons,,,,"Guo &amp; De Grave, 1997",Data Deficient,,3.1,Unknown,Global
2493348,197620,Caridina glossopoda,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Caridina,glossopoda,,,,"Liang, Guo &amp; Gao, 1993",Data Deficient,,3.1,Unknown,Global
